0.9645027\t-5.002829\t-2.4926176\t-0.34032455\t6.2610383\t0.056443952
0.4504627\t-2.4119275\t-0.5033429\t-2.3130746\t-0.76013494\t-4.029725
-0.9395718\t-2.355156\t1.342851\t-3.306177\t2.1663017\t-2.6556628
0.55265206\t-1.7100464\t0.15260828\t-5.54224\t0.6321228\t-4.158707
-0.31086233\t-4.5316186\t-0.6858063\t-3.539442\t1.8132142\t-5.8427773
-2.108227\t-1.6602266\t-1.0018197\t-1.5782713\t1.3167468\t-5.0909977
0.22463797\t-3.3254054\t-1.7725828\t-3.5016978\t3.237183\t-4.481661
